Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
472786,Melanie Faye,It's a Moot Point,0MsP3Z4x4VCmveUxidTch1,40,2020,soul,0.699,0.663,6,-6.654,1,0.0791,0.22,0.0211,0.0886,0.69,149.996,242000,4
508411,Nitin Shukla,jo tu na mila unplugged,1UBYhxNe4I4TfaDko09QuY,26,2021,indian,0.471,0.0529,3,-16.621,1,0.0437,0.958,0.0,0.0868,0.313,69.939,187167,4
125353,Midnite,Restore,4gEK1MeBRXyuCNbkxShZaM,11,2014,dub,0.629,0.565,1,-7.336,1,0.391,0.1,0.0,0.337,0.779,72.102,255320,4
403304,Worakls,Adagio For Square - Mixed,7yr46icit1aoBJmg2YECKr,12,2019,minimal-techno,0.67,0.712,0,-9.527,1,0.0405,0.369,0.933,0.119,0.091,127.043,422998,4
630788,Jamie O'Neal,Shiver,4zhyvLJBiVv0mp8qmtVDWd,19,2000,country,0.312,0.586,3,-5.481,1,0.0338,0.185,0.0,0.159,0.2,68.707,247933,3
4443,Feigur,Le Mâne,60PLnXPHuWASRqnIs2JViL,6,2012,black-metal,0.204,0.606,2,-10.097,0,0.0403,0.032,0.0349,0.276,0.0377,125.056,446966,4
1015210,Lenny Breau,A Taste Of Honey,70xgcfB3Q6i4LIplejevv0,1,2005,guitar,0.421,0.255,11,-17.228,0,0.0429,0.899,0.933,0.671,0.194,82.455,262227,4
774014,Philip Aaberg,Within Birds' Hearing,1KzVkuCQtcNRTHCsY4KZkU,1,2001,new-age,0.612,0.00118,9,-24.745,1,0.103,0.986,0.917,0.111,0.533,109.413,86907,4
807097,Disgorge,Demise of the Trinity,54B8KKY2aHdRHNdPQwbM9q,16,2002,death-metal,0.275,0.993,6,-6.466,0,0.202,0.000585,0.94,0.208,0.0415,120.733,203920,4
573988,Maya Kristalinskaya,И Если Ты Любить Устал - 2022 Remastered,6Y7B3nYMyY1bvTTbbfx9EK,0,2022,romance,0.263,0.357,0,-13.098,0,0.0384,0.885,0.00647,0.472,0.386,80.575,164716,4
1334676,Brian Eno,Paleosonic,7v4L7WLNI3m0ut5tVI99Py,16,2010,ambient,0.668,0.627,7,-8.858,1,0.0769,0.0687,0.797,0.0929,0.442,89.935,265293,4
550066,Popov,Miki Miki,1XnKlgdyMTYI4h8wQ6m2q6,54,2022,folk,0.715,0.775,1,-4.432,1,0.0786,0.27,0.0,0.137,0.789,160.874,149068,4
179845,Marcus Anderson,Espresso Shot,04G8syWNtbjgFSto01d7kd,28,2015,funk,0.709,0.776,1,-8.351,1,0.0348,0.0191,0.815,0.153,0.791,120.003,212326,4
208360,Rain Sounds,Rain on Canvas,4rxYqUTatlw8uDzdtfukOh,19,2015,sleep,0.053,0.772,7,-15.071,1,0.0758,2.71e-06,0.0,0.645,0.00761,60.899,206108,3
150656,Don Gibson,I Can Mend Your Broken Heart,41RYqLsVIb8QayBxuYjRRF,4,2014,rock-n-roll,0.528,0.486,2,-12.841,1,0.139,0.709,5.79e-06,0.288,0.855,174.89,152160,4
246492,Cold,No One (Live),0jLHdYqgj9mSBoS1uSBBQ2,10,2016,industrial,0.497,0.831,1,-8.658,1,0.0358,0.0268,0.805,0.598,0.369,131.119,206164,4
844444,Los Juniors,Palabras,29DNwPnpMMirfGQ4j8eBWh,3,2002,rock-n-roll,0.652,0.351,2,-10.102,1,0.0276,0.879,0.0771,0.158,0.156,88.002,181382,4
1438034,Kendrick Lamar,Ronald Reagan Era,71d1KcqByBe8cl0NhFUKVU,54,2011,hip-hop,0.424,0.828,1,-4.991,0,0.335,0.0152,0.0,0.389,0.3,167.469,216900,4
125336,Sarantis,Maria,5Wu5OEKxm5RLC3ZnaPVcWc,15,2014,dub,0.55,0.988,5,-2.939,1,0.0404,0.176,0.00481,0.11,0.976,175.888,261080,4
588161,Hins Cheung,高八度 (Live),1A450BRS9ExYUoVqJ7YHla,24,2023,cantopop,0.281,0.412,7,-12.0,1,0.0357,0.51,0.0,0.497,0.106,99.953,284387,4
459611,David Lanz,Neptune Dancing,7d2ZtSj6e3HCFT9bWbIjs1,5,2020,new-age,0.503,0.314,0,-13.461,0,0.0525,0.979,0.93,0.165,0.111,126.063,244435,4
413385,Jards Macalé,Valor,14Z1yglyWvAEo1Tqkzk61L,5,2019,samba,0.452,0.311,8,-12.144,0,0.0763,0.882,0.00499,0.127,0.419,81.359,176133,1
572174,PJ Harvey,Who Will Love Me Now?,7Ae2k50i29YjbpXKI0lv0Z,27,2022,psych-rock,0.564,0.272,2,-15.637,0,0.0393,0.558,0.0064,0.0625,0.225,129.764,321840,4
1184871,Jaime Urrutia,Vestida para mí - Directo Enjoy 07,4UjMYPAnySJwOqWLDrhoqw,8,2007,spanish,0.351,0.828,9,-7.509,0,0.0672,0.0341,1.86e-05,0.962,0.495,126.942,205880,4
1428842,Mark Sultan,Pancakes,70ZmxdXo2JxT3K4MYBb4N9,9,2011,garage,0.363,0.962,6,-4.893,1,0.0853,0.85,0.824,0.112,0.703,164.988,150840,4
734838,Asia 2001,Dreamland,2hN0PDgRSX0TLsFAYr2JKb,0,2000,trance,0.572,0.64,2,-12.587,1,0.0423,0.018,0.814,0.107,0.0709,143.993,373267,4
72879,Wisin & Yandel,Pam Pam,2up69Rho7swRdP1MHqzX3n,60,2013,electro,0.874,0.69,10,-6.373,1,0.114,0.121,0.0,0.249,0.735,95.025,227280,4
650700,Kid Dynamite,Pits + Poisoned Apples,0Qsa8rz9lZtQzuGzlj89Vs,20,2000,hardcore,0.431,0.978,2,-3.944,1,0.0868,0.000719,0.0,0.076,0.626,158.855,48773,4
366379,John Adams,I Will Always Love You - Acoustic,4XzohxjrVKLdzzaTw0HTRg,36,2019,acoustic,0.52,0.0592,9,-13.01,1,0.0467,0.974,0.0,0.0928,0.325,126.583,179837,4
227162,B15 Project,Girls Like Us,2kORFfHwy7w4a24WHrOb7b,45,2016,deep-house,0.791,0.86,7,-5.386,0,0.036,0.141,0.355,0.205,0.973,130.039,187527,4
109360,Dibigode,Último Ato,0bwMxu11PH9EV7sXgXQAXN,0,2014,afrobeat,0.256,0.619,9,-11.06,1,0.051,0.022,0.944,0.191,0.514,97.248,354520,3
1008956,Juan Pablo Torres,Moonlight Serenade,1XOk3Jrf30aXgqa7pyW87g,14,2005,funk,0.793,0.632,2,-7.825,0,0.0367,0.517,0.91,0.127,0.88,127.909,456867,4
815908,Mylène Farmer,Pardonne-moi,59ayyDWbY4Fk7PgUEPOcgh,30,2002,french,0.576,0.849,9,-6.793,0,0.0359,0.207,0.00203,0.0616,0.379,99.979,270467,4
614416,Grave Pleasures,Heart Like a Slaughterhouse,4CdiP0imLWkvznQlSVgLCy,31,2023,punk,0.516,0.886,2,-4.405,1,0.0519,0.0142,0.255,0.446,0.434,121.05,202547,4
